Observed Reentry Date (UTC),Object Name,International Designator,SSN,TLE Epoch (UTC),Aerospace Reentry Prediction (UTC),Aerospace Stated Uncertainty 20% Rule (+/- hrs),Country of Origin,Type,Sighting Location,Sighting Latitude,Sighting Longitude,Debris Recovery Location,Recovery Latitude,Recovery Longitude
N/A,COSMOS 1356,1982-039A,13153,2023-07-03T03:30:12.453408Z,2023-07-08T04:56:38.380000Z,25.0,COMMONWEALTH OF INDEPENDENT STATES,Payload,,,,,,
N/A,STARLINK-30118,2023-067J,56696,2023-07-02T12:20:21.052320Z,2023-07-07T02:37:29.250000Z,23.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-30061,2023-026D,55698,2023-06-29T15:11:37.266144Z,2023-06-30T14:32:28.180000Z,5.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,SL-4 R/B,2023-045B,56092,2023-07-03T09:46:37.424640Z,2023-07-03T22:43:37.240000Z,3.0,COMMONWEALTH OF INDEPENDENT STATES,Rocket Body,,,,,,
N/A,STARLINK-30139,2023-079G,56829,2023-07-02T13:42:26.892576Z,2023-07-07T04:35:58.650000Z,23.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2366,2021-021AY,47906,2023-06-27T17:19:14.320992Z,2023-06-27T19:38:41.590000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-2D DEB,2022-088D,53319,2023-06-27T03:10:13.072800Z,2023-06-27T04:55:27.420000Z,1.0,PEOPLES REPUBLIC OF CHINA,Debris,,,,,,
N/A,STARLINK-1650,2020-070AT,46573,2023-06-27T08:17:11.497344Z,2023-06-27T09:50:50.450000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-2D R/B,2018-002C,43101,2023-06-22T19:27:49.391712Z,2023-06-22T22:24:41.440000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,CZ-2C R/B,2022-043D,52323,2023-06-20T14:07:26.080320Z,2023-06-20T18:04:05.440000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,STARLINK-1706,2020-070AE,46560,2023-06-16T04:15:57.461760Z,2023-06-16T08:21:22.690000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-30044,2023-026J,55703,2023-06-13T21:56:25.268640Z,2023-06-14T11:47:46.840000Z,3.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,KZ-1A R/B,2023-082B,56875,2023-06-12T08:39:53.519904Z,2023-06-12T09:15:44.260000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,CZ-2F R/B,2023-077F,56766,2023-06-12T11:46:14.054880Z,2023-06-12T16:49:45.640000Z,2.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,CZ-2D DEB,2022-068E,52911,2023-06-12T09:20:51.470304Z,2023-06-12T15:54:01.080000Z,2.0,PEOPLES REPUBLIC OF CHINA,DEBRIS,,,,,,
N/A,STARLINK-1546,2020-062X,46346,2023-06-09T21:52:43.079808Z,2023-06-10T06:59:26.940000Z,2.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-1116,2020-001AK,44947,2023-06-08T22:31:58.920096Z,2023-06-08T23:38:40.240000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,UNHA 3 R/B,2016-009B,41333,2023-06-09T09:42:06.962400Z,2023-06-09T12:18:50.870000Z,1.0,NORTH KOREA,Rocket Body,,,,,,
N/A,LAUNCHERONE R/B,2021-002H,47316,2023-06-07T01:29:36.367872Z,2023-06-07T02:50:36.290000Z,1.0,UNITED STATES OF AMERICA,Rocket Body,,,,,,
N/A,SL-4 R/B,2022-054B,52714,2023-06-05T21:40:52.897728Z,2023-06-06T02:59:07.630000Z,2.0,COMMONWEALTH OF INDEPENDENT STATES,Rocket Body,,,,,,
N/A,STARLINK-30048,2023-026S,55711,2023-06-04T03:25:31.607616Z,2023-06-04T08:55:16.320000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1326,2020-025AW,45575,2023-06-03T09:53:20.472864Z,2023-06-03T13:59:45.030000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,PSLV R/B,2018-096W,43739,2023-06-01T13:39:23.988960Z,2023-06-01T19:57:30.750000Z,2.0,INDIA,ROCKET BODY,,,,,,
N/A,STARLINK-1141,2020-006H,45051,2023-05-30T09:02:54.979872Z,2023-05-30T10:36:59.140000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,ELECTRON R/B,2023-011E,55328,2023-05-27T07:20:19.770432Z,2023-05-27T10:42:19.210000Z,1.0,UNITED STATES OF AMERICA,ROCKET BODY,,,,,,
