"xSectMax","vimpelId","xSectAvg","name","diameter","depth","mass","span","cosparId","satno","height","width","xSectMin","shape","objectClass"
NULL,,NULL,"Agena D debris",NULL,NULL,"16.17",NULL,"1969-082DS","4312.0",NULL,NULL,NULL,,"Rocket Fragmentation Debris"
NULL,,NULL,"NABEO 'Pride of Bavaria' (attached to Electron kick stage)",NULL,NULL,"156",NULL,"2018-088C","43692.0",NULL,NULL,NULL,,"Rocket Body"
"17.3156",,"8.9844","Beidou DW 24",NULL,"1.7","1014","10","2017-069A","43001.0","2.2","1.7","2.89","Box + 2 Pan","Payload"
"17.3156",,"8.9844","Beidou DW 25",NULL,"1.7","1014","10","2017-069B","43002.0","2.2","1.7","2.89","Box + 2 Pan","Payload"
"39.1337",,"33.7643","H-18 (Long March (CZ) YF) (Long March (CZ) 3B/YZ-1)","3",NULL,"2800","3","2017-069C","43003.0","12.83",NULL,"7.06858","Cyl + 1 Nozzle","Rocket Body"
"7.06858",,"5.89049","YZ-1 (Long March (CZ) 3B/YZ-1)","3",NULL,"5000","4","2017-069D","43004.0","4",NULL,"5.65487","Double Cone","Rocket Body"
"8.63894",,"7.6757","L-14B-res (YF40B-res) (Long March (CZ) 4C)","2.9",NULL,"1000","2.9","2018-043B","43462.0","1.92",NULL,"5.568","Cyl","Rocket Body"
"73.7507",,"34.0633","Chinasat 18",NULL,"2.5","5250","30","2019-053A","44493.0","5","2.5","6.25","Box + 2 Pan","Payload"
"21.3286",,"10.846","Gaofen 5",NULL,"2","2700","8","2018-043A","43461.0","2","2","4","Box + 3 Pan","Payload"
"17.4076",,"16.1282","Crew Dragon operational debris (trunk)","3.7",NULL,"2300","3.7","2021-103B","52508.0","3.7",NULL,"10.7521","Cyl","Other Mission Related Object"
"64.3802",,"58.1462","Delta IV DCSS 5 (Delta 4M+(5,4))",NULL,NULL,"3510","12","2016-075B","41880.0",NULL,NULL,"20.3482","Cyl + 1 Nozzle","Rocket Body"
"27.5921",,"11.0875","Starlink 3793",NULL,"2.8","260","9","2022-045BB","52380.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3803",NULL,"2.8","260","9","2022-045BC","52381.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3799",NULL,"2.8","260","9","2022-045BD","52382.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"22.8117",,"12.145","Mohammed VI-A","2",NULL,"1110","8","2017-070A","43005.0","4",NULL,"2.59808","Hex Cyl + 3 Pan","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2020-055BL","46085.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2020-055BM","46086.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.043589",,"0.035","SUCHAI-2",NULL,"0.1","4","0.3","2022-033AM","52192.0","0.3","0.1","0.01","Box","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-30",NULL,"0.2","43","0.5","2022-048E","52447.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2020-055BN","46087.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"27.5921",,"11.0875","Starlink 3811",NULL,"2.8","260","9","2022-045BE","52383.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"50","7","2022-045BF","52384.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2022-029IA",,"15.53",NULL,"10.5052","Cyl","Rocket Body"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"50","7","2022-045BG","52385.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"7.6162",,"4.9913","Gaofen 9-05",NULL,"1.5","1700",NULL,"2020-058A","46232.0","1.9","1.5","2.25","Box + 2 Pan","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"50","7","2022-045BH","52386.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"50","7","2022-045BJ","52387.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.433013",,"0.375","Qiancheng-01",NULL,"0.5","65","0.5","2019-052A","44486.0","0.5","0.5","0.25","Box","Payload"
"0.554527",,"0.475","Tiantuo 5",NULL,"0.5","20","0.7","2020-058C","46234.0","0.7","0.5","0.25","Box","Payload"
"0.0938083",,"0.08","Duogongneng Shiyan Weixing",NULL,"0.2","10","0.3","2020-058B","46233.0","0.3","0.2","0.04","Box","Payload"
"0.123693",,"0.105","Tianqi-2",NULL,"0.3","8","0.3","2019-052B","44487.0","0.3","0.2","0.06","Box","Payload"
"17.4076",,"16.1282","Crew Dragon operational debris (trunk)","3.7",NULL,"2300","3.7","2022-037B","52319.0","3.7",NULL,"10.7521","Cyl","Payload Mission Related Object"
"27.5921",,"11.0875","Starlink 3815",NULL,"2.8","260","9","2022-045H","52338.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3792",NULL,"2.8","260","9","2022-045J","52339.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3818",NULL,"2.8","260","9","2022-045K","52340.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3550",NULL,"2.8","260","9","2022-045AU","52373.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"23.2825",,"21.677","Crew Dragon 4","4",NULL,"13055","4.9","2022-042A","52318.0","4.9",NULL,"12.5664","Cone + Cyl","Payload"
"27.5921",,"11.0875","Starlink 3762",NULL,"2.8","260","9","2022-045AV","52374.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-31",NULL,"0.2","43","0.5","2022-048F","52448.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"27.5921",,"11.0875","Starlink 3785",NULL,"2.8","260","9","2022-045AW","52375.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-32",NULL,"0.2","43","0.5","2022-048G","52449.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"27.5921",,"11.0875","Starlink 3767",NULL,"2.8","260","9","2022-045AX","52376.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3805",NULL,"2.8","260","9","2022-045AY","52377.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-33",NULL,"0.2","43","0.5","2022-048H","52450.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"27.5921",,"11.0875","Starlink 3806",NULL,"2.8","260","9","2022-045AZ","52378.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Kuanfu-01C",NULL,"0.2","43","0.5","2022-048A","52443.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"27.5921",,"11.0875","Starlink 3800",NULL,"2.8","260","9","2022-045BA","52379.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-27",NULL,"0.2","43","0.5","2022-048B","52444.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-28",NULL,"0.2","43","0.5","2022-048C","52445.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
