Category,Currency,SellerRating,Duration,endDay,OpenPrice,Competitive
Music/Movie/Game,US,3249,5,Mon,0.01,no
Music/Movie/Game,US,3249,5,Mon,0.01,no
Music/Movie/Game,US,3249,5,Mon,0.01,no
Music/Movie/Game,US,3249,5,Mon,0.01,no
Music/Movie/Game,US,3249,5,Thu,0.01,no
Music/Movie/Game,US,3249,5,Thu,0.01,no
Music/Movie/Game,US,3249,5,Thu,0.01,no
Music/Movie/Game,US,3249,5,Thu,0.01,no
Music/Movie/Game,US,3249,5,Thu,0.01,no
Music/Movie/Game,US,3249,5,Thu,0.01,no
Music/Movie/Game,US,3249,5,Thu,0.01,no
Music/Movie/Game,US,3249,5,Mon,0.01,no
Music/Movie/Game,US,3249,5,Mon,,no
Music/Movie/Game,US,3249,5,Mon,0.01,no
Music/Movie/Game,US,3249,5,Mon,0.01,no
Music/Movie/Game,US,3249,5,Mon,0.01,no
Automotive,US,3115,7,Tue,0.01,no
Automotive,US,3115,7,Tue,0.01,no
Automotive,US,3115,7,Tue,0.01,no
Automotive,US,3115,7,Tue,0.01,no
Automotive,US,3115,7,Tue,0.01,yes
Automotive,US,3115,7,Tue,0.01,yes
Music/Movie/Game,US,37727,7,Mon,0.01,no
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
SportingGoods,US,34343,1,Fri,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Thu,0.01,yes
Music/Movie/Game,US,3249,5,Thu,0.01,yes
Music/Movie/Game,US,3249,5,Thu,0.01,yes
Music/Movie/Game,US,3249,5,Thu,0.01,yes
Music/Movie/Game,US,3249,5,Thu,0.01,yes
Music/Movie/Game,US,3249,5,Thu,0.01,yes
Music/Movie/Game,US,3249,5,Thu,0.01,yes
Music/Movie/Game,US,3249,5,Thu,0.01,yes
Music/Movie/Game,US,3249,5,Thu,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Automotive,US,3115,7,Tue,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Mon,0.01,yes
Music/Movie/Game,US,3249,5,Wed,0.01,yes
Music/Movie/Game,US,3249,5,Wed,0.01,yes
Music/Movie/Game,US,3249,5,Wed,0.01,yes
Music/Movie/Game,US,3249,5,Wed,0.01,yes
Music/Movie/Game,US,3249,5,Wed,0.01,yes
Music/Movie/Game,US,3249,5,Wed,0.01,yes
Music/Movie/Game,US,3249,5,Wed,0.01,yes
Music/Movie/Game,US,3249,5,Wed,0.01,yes
Music/Movie/Game,US,3249,5,Wed,0.01,yes
Music/Movie/Game,US,3249,5,Wed,0.01,yes
