fixed acidity,residual sugar,total sulfur dioxide,density,pH,alcohol,quality
6.4,2.9,102,0.9912,3.17,11,7
7,7.4,160,0.9954,3.13,9.8,6
6.8,0.9,132,0.993,3.05,9.1,6
6.2,1.2,120,0.9934,3.22,9.1,5
7.1,11.8,152,0.9975,3.12,8.7,6
7.4,13.5,192,0.9975,3,9.1,5
6,3.3,143,0.9914,3.31,11.3,6
6.7,13.1,205,0.997,3.15,9.5,5
6.9,11.2,142,0.9975,3.14,8.7,5
8.5,16.2,197,0.998,3.02,9.8,3
6.9,19.45,156,0.9996,2.93,8.9,5
6.8,1.2,67,0.9919,3.05,10.6,4
6.1,1.6,87,0.9914,3.27,10.8,6
6.8,1.1,127,0.9934,3.09,9.1,6
6.8,4.6,135,0.9927,3.2,10.6,5
6.3,1.5,105,0.991,3.32,11.2,6
6,1.5,143,0.9923,3.49,10.8,6
6.7,5.4,140,0.995,3.39,9.7,6
6.9,1.2,125,0.9932,3.17,9.4,5
6.8,13.3,194,0.9974,3.09,9.4,5
7,15.2,171,0.9982,3.22,9.3,5
5.9,12.4,162,0.9973,3.35,9.5,5
7.2,11,178,0.9976,3.16,8.7,5
8.6,12.15,158,0.9983,3,9.3,6
5.5,4.5,102,0.9938,3.24,9.4,6
6.3,1.7,164,0.9928,3.32,10.4,6
7,1,70,0.9899,3.09,12.1,6
6.3,1.8,158,0.9907,3.2,11.4,6
7.8,12.2,140,0.998,3.06,8.9,6
5.9,1.9,78,0.9918,3.43,10.8,6
7.9,2.1,143,0.9942,3.05,9.8,5
6.9,1.3,101,0.9901,3.03,11.4,6
7.9,15.3,171,0.9987,3.09,9.1,5
6.8,4.2,165,0.9945,3.2,9.1,5
7.3,1.2,119,0.992,3.32,10.9,6
6.4,1.1,131,0.9905,2.97,10.8,5
6.5,16.8,222,0.9993,3.18,9,5
6.3,13.9,179,0.9971,3.36,10.4,6
5.7,4.75,94,0.991,3.42,11.8,7
6.2,1,98,0.99345,3.14,9.2,5
6.9,4.6,19,0.9915,3.31,12.6,3
7.4,2.1,113,0.99165,3.26,12.2,6
7.2,7.6,177,0.9928,3.04,11.5,6
5.9,2.2,138,0.9932,3.09,9.1,5
7.1,1.2,136,0.9932,3.3,9.8,7
5.4,4.8,113,0.99445,3.42,9.4,6
6,1.4,75,0.99085,3.34,11.1,8
6,12,246,0.9976,3.15,9,6
6.4,1.1,160,0.99405,3.42,9.1,7
7.9,15.6,229,0.99785,3.03,10.5,6
7.3,10.2,212,0.9971,2.96,9.2,6
6.7,10.2,149,0.99725,3.17,10,7
6.2,1.7,111,0.99,3.24,12.1,6
6.8,12.2,236,0.9976,3.35,9.8,6
7,1.4,128,0.9896,3.12,12.2,7
8.4,1.6,101,0.994,3.06,11.1,4
6.5,12.9,215,0.9967,3.17,10,6
6.2,7.3,244,0.9956,3.36,10,6
8.2,18.2,205,0.99965,2.96,9.6,5
8,5,101,0.992,3.13,12.3,7
8,17.45,184,0.9997,3.05,9.2,6
6.6,1.2,199,0.993,3.37,10.3,7
8.3,1.7,98,0.9943,3.15,10.3,6
7.6,1.4,109,0.9932,3.11,10.3,6
7,1.5,128,0.9941,3.41,10.4,7
7,1.7,61,0.9918,3.07,10.4,5
8.3,1.1,75,0.9934,3.03,9.2,5
7.3,7.5,152,0.9962,3.1,9,5
7,7.5,185,0.9966,3.34,9.4,5
6.2,12,186,0.9974,3.17,9.3,6
6.4,3.2,124,0.9904,3.22,12.7,7
7.5,7.7,180,0.9974,3.37,10.1,6
7.4,8.4,183,0.9963,3.09,8.8,5
5.8,2.6,120,0.9894,3.39,14,7
7,2.2,96,0.9928,3.13,10.4,8
9.8,1.6,124,0.9944,2.93,10.8,5
6,5.2,178,0.9914,3.4,12.3,8
9.2,3.2,133,0.996,3.14,9.5,5
7.9,4.5,114,0.992,3.17,12.4,7
7.3,3.6,116,0.9928,3.17,10.9,5
8,5.2,167,0.9953,3.18,10.6,7
5.7,1.1,150,0.9927,3.13,9.3,5
7.5,4.2,116,0.991,2.99,12.3,8
6.2,1.5,132,0.9938,3.22,9.2,6
7.3,6.8,122,0.9925,3.19,12.6,7
7.3,5.2,163,0.9925,3.3,12.4,6
7.3,4.6,114,0.991,3.23,13.2,6
6.2,1.7,161,0.9924,3.44,11,5
6.8,1.5,167,0.9928,3.12,10.5,6
7.6,1.1,143,0.9907,2.92,11.4,5
7.3,1.2,143,0.9918,3.2,11.3,7
7.6,1.6,103,0.9916,3.07,10.8,7
5.3,1.1,105,0.9925,3.32,9.1,5
7.9,4.5,133,0.9946,3.24,10.6,6
8.5,3.6,128,0.9928,3.28,12.4,6
8,9.1,151,0.9926,3.16,12.7,8
7,0.8,163,0.9931,3.46,10.2,5
7.6,9.6,197,0.9938,3.13,12.3,7
7.3,9.9,161,0.9937,3.01,11.2,6
8.1,8.1,174,0.9943,3.1,11.2,7
7.3,5,107,0.9936,3.24,10.8,6
7.2,1.3,104,0.9924,3.23,10.6,6
6.7,4.7,156,0.9945,3.13,9.9,6
7.8,3.1,116,0.9931,3.16,10.3,5
6.2,1.6,143,0.9937,3.22,9.2,6
9,1,131,0.993,3.09,10.5,7
7.8,7,149,0.9952,3.21,10,5
8.1,15.4,177,1.0004,3.27,9,4
7.1,1.3,123,0.9915,3.27,11.4,6
6.5,4.2,114,0.9955,3.25,8.6,4
7,6.1,120,0.9939,3.24,10.8,5
6.8,6.6,116,0.9953,3.07,9.4,5
9.2,1.1,99,0.9929,2.94,10.4,6
7.5,4.8,87,0.994,3.14,9.9,5
6.5,1.4,141,0.9941,3.34,9.5,6
7,5.7,104,0.9954,3.04,9.4,6
6.4,1.6,127,0.9934,3.6,10.4,7
