"","X","brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price","HighValueCar","engine_power_numeric"
"1",1,"Ford","Utility Police Interceptor Base",2013,51000,"E85 Flex Fuel","300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",10300,0,3.6624
"2",2,"Hyundai","Palisade SEL",2021,34742,"Gasoline","3.8L V6 24V GDI DOHC","8-Speed Automatic","Moonlight Cloud","Gray","At least 1 accident or damage reported","Yes",38005,0,3.8624
"3",3,"Lexus","RX 350 RX 350",2022,22372,"Gasoline","3.5 Liter DOHC","Automatic","Blue","Black","None reported","No",54598,1,3.5
"4",4,"INFINITI","Q50 Hybrid Sport",2015,88900,"Hybrid","354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid","7-Speed A/T","Black","Black","None reported","Yes",15500,0,3.6624
"5",5,"Audi","Q3 45 S line Premium Plus",2021,9835,"Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic","Glacier White Metallic","Black","None reported","No",34999,0,2.0416
"6",6,"Acura","ILX 2.4L",2016,136397,"Gasoline","2.4 Liter","F","Silver","Ebony.","None reported","No",14798,0,2.4
"7",7,"Audi","S3 2.0T Premium Plus",2017,84000,"Gasoline","292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Blue","Black","None reported","Yes",31000,0,3.6624
"8",8,"BMW","740 iL",2001,242000,"Gasoline","282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","A/T","Green","Green","None reported","Yes",7300,0,3.6624
"9",9,"Lexus","RC 350 F Sport",2021,23436,"Gasoline","311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",41927,0,3.6624
"10",10,"Tesla","Model X Long Range Plus",2020,34000,"Electric","534.0HP Electric Motor Electric Fuel System","A/T","Black","Black","None reported","Yes",69950,1,534
"11",11,"Land","Rover Range Rover Sport 3.0 Supercharged HST",2021,27608,"Gasoline","V6","Automatic","Fuji White","Pimento / Ebony","None reported","No",73897,1,6
"12",12,"Aston","Martin DBS Superleggera",2019,22770,"Gasoline","715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Black","None reported","Yes",184606,1,3.6624
"13",13,"Toyota","Supra 3.0 Premium",2021,12500,"Gasoline","382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","A/T","Yellow","Black","None reported","Yes",53500,1,3.6624
"14",14,"Lincoln","Aviator Reserve AWD",2022,18196,"Gasoline","400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Brown","None reported","Yes",62000,1,3.6624
"15",15,"Jaguar","F-TYPE",2020,15903,"Gasoline","2.0 Liter Supercharged","Automatic","Silver","Black","None reported","No",47998,0,2
"16",16,"Land","Rover LR4 HSE",2013,79800,"Gasoline","375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",29990,0,3.6624
"17",17,"Mercedes-Benz","Metris Base",2021,1685,"Gasoline","2.0L I4 16V GDI DOHC Turbo","9-Speed Automatic","Gray","White","None reported","Yes",250000,1,2.0416
"18",18,"Dodge","Challenger SXT",2013,61074,"Gasoline","305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","None reported","Yes",16800,0,3.6624
"19",19,"Nissan","350Z Enthusiast",2003,74000,"Gasoline","287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Purple","–","None reported","Yes",11000,0,3.6624
"20",20,"Jaguar","F-TYPE R",2018,35250,"Gasoline","550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Green","Black","None reported","Yes",68750,1,3.6624
"21",21,"Chevrolet","S-10 LS",2000,133510,"E85 Flex Fuel","120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability","A/T","Blue","Black","None reported","Yes",4500,0,3.6624
"22",22,"BMW","440 Gran Coupe 440i xDrive",2020,25990,"Gasoline","3.0 Liter Turbo","Automatic","White","Beige","None reported","No",38598,0,3
"23",23,"Ford","F-150 XLT",2023,2823,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","Automatic","Iconic Silver Metallic","Black","None reported","Yes",58504,1,3.5624
"24",24,"Chevrolet","Suburban RST",2021,52000,"Gasoline","355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","10-Speed A/T","Blue","Black","None reported","Yes",61000,1,3.6624
"25",25,"Hyundai","Elantra N Base",2022,11650,"Gasoline","276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",32300,0,3.6624
"26",26,"Nissan","Sentra SR",2016,96541,"Gasoline","1.8 Liter","Automatic","Blue","Black","None reported","No",13998,0,1.8
"27",27,"Mercedes-Benz","AMG CLA 45 Base 4MATIC",2021,17500,"Gasoline","382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",59995,1,3.6624
"28",28,"BMW","650 Gran Coupe i xDrive",2015,69000,"Gasoline","445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Black","None reported","Yes",25700,0,3.6624
"29",29,"Audi","Q5 2.0T Premium Plus",2017,81880,"E85 Flex Fuel","2.0L I4 16V GDI DOHC Turbo Flexible Fuel","8-Speed Automatic","Mythos Black Metallic","Black","None reported","Yes",21375,0,2.0416
"30",30,"Mercedes-Benz","AMG C 43 Base 4MATIC",2018,28800,"Gasoline","362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","Silver","Black","None reported","Yes",48000,0,3.6624
"31",31,"Dodge","Ram 1500 Laramie Mega Cab",2006,300183,"Gasoline","345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","A/T","Silver","Gray","At least 1 accident or damage reported","Yes",10900,0,3.6624
"32",32,"BMW","i3 120Ah w/Range Extender",2020,35035,"Hybrid","120 AH","Automatic","Black","Black","None reported","No",24998,0,120
"33",33,"Kia","Sorento SX",2011,171000,"Gasoline","276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",5999,0,3.6624
"34",34,"Lexus","LX 570 Base",2016,118700,"Gasoline","383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Beige","None reported","Yes",46900,0,3.6624
"35",35,"Jeep","New Compass Trailhawk",2017,119000,"Gasoline","180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","A/T","Red","Black","None reported","Yes",15900,0,3.6624
